model,valid_acc,params
svc,0.6327844627401309,{'C': 100}
gbm,0.6290901414397297,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}"
linear_svc_l2,0.627506860882415,"{'C': 0.5, 'loss': 'hinge', 'penalty': 'l2'}"
log_reg,0.6239180916191682,"{'C': 10, 'penalty': 'l2'}"
linear_svc_l1,0.6230736753219337,"{'C': 100, 'dual': False, 'penalty': 'l1'}"
rf,0.6212792906903103,"{'max_depth': 5, 'min_samples_split': 2}"
dt,0.6027021321511505,"{'max_depth': 2, 'min_samples_split': 2}"
nb,0.55256491450285,{'var_smoothing': 1e-05}
