model,valid_acc,params
svc,0.6364019380661471,{'C': 1000}
gbm,0.6336633663366337,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 500}"
linear_svc_l2,0.6309247946071203,"{'C': 1.0, 'loss': 'hinge', 'penalty': 'l2'}"
linear_svc_l1,0.6290288603328418,"{'C': 0.75, 'dual': False, 'penalty': 'l1'}"
log_reg,0.6286075416052244,"{'C': 1.0, 'penalty': 'l1'}"
rf,0.6275542447861807,"{'max_depth': 5, 'min_samples_split': 4}"
dt,0.616810617231936,"{'max_depth': 2, 'min_samples_split': 2}"
nb,0.5546661049083632,{'var_smoothing': 1e-05}
